Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,2,111467,103973,Melbourne (CBD),Sea Life Melbourne Aquarium,8921,Zoological and Botanical Gardens Operation,144.9594961,-37.82059787,"(-37.82059787, 144.9594961)"
2018,355,101921,101921,North Melbourne,Bell Partnerships,6419,Other Auxiliary Finance and Investment Services,144.9519761,-37.80496639,"(-37.80496639, 144.9519761)"
2018,355,101921,101921,North Melbourne,Melbourne Natural Medicine Clinic,8539,Other Allied Health Services,144.9519761,-37.80496639,"(-37.80496639, 144.9519761)"
2018,91,105464,105464,West Melbourne (Residential),Computer Troubleshooters,9422,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maint,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,91,105464,105464,West Melbourne (Residential),Harkess-Ord,6924,Other Specialised Design Services,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,91,105464,105464,West Melbourne (Residential),Minuteman Press,1611,Printing,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,444,598605,598605,West Melbourne (Residential),Vacant,0,Vacant Space,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Menzies Institute Of Technology Pty Ltd,8101,Technical and Vocational Education and Training,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),D C A,7000,Computer System Design and Related Services,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Vacant,0,Vacant Space,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),SAI Global Property Division,6931,Legal Services,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Healthconnex,8599,Other Health Care Services n.e.c.,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Doxa Youth Foundation,7211,Employment Placement and Recruitment Services,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Doxa Social Club Inc,9559,Other Interest Group Services n.e.c.,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,444,598605,598605,West Melbourne (Residential),Western Coffee Lounge,4511,Cafes and Restaurants,144.9503312,-37.81194004,"(-37.81194004, 144.9503312)"
2018,775,110525,110525,Port Melbourne,Philips Healthcare,3494,Other Electrical and Electronic Good Wholesaling,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,775,110525,110525,Port Melbourne,Kalair,4610,Road Freight Transport,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,775,110525,110525,Port Melbourne,Isuzu,3502,Commercial Vehicle Wholesaling,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,775,110525,110525,Port Melbourne,Fusion Retail Brands,4252,Footwear Retailing,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,775,110525,110525,Port Melbourne,Colonial Leisure Group,4511,Cafes and Restaurants,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,790,597227,597227,Port Melbourne,SPH Transport,5299,Other Transport Support Services n.e.c.,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Vacant,0,Vacant Space,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Vacant,0,Vacant Space,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Atlas Recycling,2911,Solid Waste Collection Services,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Aerovision Australia Pty Ltd,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Radius Print,1611,Printing,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Vacant,0,Vacant Space,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Liquid Ink,1611,Printing,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Earth Banks Landscapes,3291,Landscape Construction Services,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Expozay for Hair,2469,Other Specialised Machinery and Equipment Manufacturing,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Vacant,0,Vacant Space,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
2018,790,597227,597227,Port Melbourne,Landscape Discoveries,3291,Landscape Construction Services,144.9099038,-37.82485375,"(-37.82485375, 144.9099038)"
